SCHL,gmajor,_FREQ_,radj_wagp,pct,pct_overall,source,target
Bachelors,Health,1526,44000,0.0198205564,0.0013897406,Major: Health,Occ: Community and social service
Bachelors,Health,816,73000,0.010649277,0.000746686,Major: Health,Occ: Computer and mathematical
Bachelors,Health,131,52000,0.0015706137,0.0001101253,Major: Health,Occ: Construction and extraction
Bachelors,Health,1932,46000,0.0244191599,0.0017121769,Major: Health,"Occ: Education, training, and library"
Bachelors,Health,363,26000,0.005639931,0.0003954501,Major: Health,Occ: Food preparation and serving related
Bachelors,Health,52025,67000,0.6721014676,0.0471251501,Major: Health,Occ: Healthcare practitioners and technical
Bachelors,Health,1971,38000,0.0293571144,0.0020584071,Major: Health,Occ: Healthcare support
Bachelors,Health,113,45000,0.001456532,0.0001021264,Major: Health,"Occ: Installation, maintenance and repair"
Bachelors,Health,194,62000,0.0024681934,0.0001730602,Major: Health,Occ: Legal
Bachelors,Health,582,64000,0.0070048117,0.0004911502,Major: Health,"Occ: Life, physical, and social sciences"
Bachelors,Health,6472,76000,0.0800628294,0.0056136953,Major: Health,Occ: Management
Bachelors,Health,3574,40000,0.0478459535,0.0033547728,Major: Health,Occ: Office and administrative support
Bachelors,Health,746,32000,0.0109171159,0.0007654659,Major: Health,Occ: Personal care and service
Bachelors,Health,482,40000,0.0068297095,0.0004788728,Major: Health,Occ: Production
Bachelors,Health,416,58000,0.0051597265,0.00036178,Major: Health,Occ: Protective service
Bachelors,Health,2375,66000,0.0315632575,0.0022130933,Major: Health,Occ: Sales and related
Bachelors,Health,263,39000,0.0042268128,0.0002963677,Major: Health,Occ: Transportation and material moving
Bachelors,Humanities and liberal arts,764,68000,0.0087560896,0.0006596529,Major: Humanities and liberal arts,Occ: Architecture and engineering
Bachelors,Humanities and liberal arts,5066,58000,0.0604948435,0.0045574678,Major: Humanities and liberal arts,"Occ: Arts, design, entertainment, sports, and media"
Bachelors,Humanities and liberal arts,585,31000,0.0076690702,0.0005777607,Major: Humanities and liberal arts,Occ: Building and grounds cleaning and maintenance
Bachelors,Humanities and liberal arts,8480,60000,0.0985372659,0.0074234494,Major: Humanities and liberal arts,Occ: Business and financial operations
Bachelors,Humanities and liberal arts,4431,41000,0.049542829,0.0037323817,Major: Humanities and liberal arts,Occ: Community and social service
Bachelors,Humanities and liberal arts,4057,71000,0.047270358,0.0035611817,Major: Humanities and liberal arts,Occ: Computer and mathematical
Bachelors,Humanities and liberal arts,786,47000,0.0093857415,0.0007070886,Major: Humanities and liberal arts,Occ: Construction and extraction
Bachelors,Humanities and liberal arts,9560,44000,0.1096915323,0.0082637725,Major: Humanities and liberal arts,"Occ: Education, training, and library"
Bachelors,Humanities and liberal arts,89,39000,0.0008956546,0.0000674754,Major: Humanities and liberal arts,"Occ: Farming, fisheries, and forestry"
Bachelors,Humanities and liberal arts,1467,30000,0.0205666081,0.0015494156,Major: Humanities and liberal arts,Occ: Food preparation and serving related
Bachelors,Humanities and liberal arts,2120,55000,0.0266145212,0.002005044,Major: Humanities and liberal arts,Occ: Healthcare practitioners and technical
Bachelors,Humanities and liberal arts,573,31000,0.0071956528,0.0005420951,Major: Humanities and liberal arts,Occ: Healthcare support
Bachelors,Humanities and liberal arts,768,51000,0.009454543,0.0007122719,Major: Humanities and liberal arts,"Occ: Installation, maintenance and repair"
Bachelors,Humanities and liberal arts,1300,53000,0.0161159457,0.0012141184,Major: Humanities and liberal arts,Occ: Legal
Bachelors,Humanities and liberal arts,530,55000,0.0062277174,0.0004691742,Major: Humanities and liberal arts,"Occ: Life, physical, and social sciences"
Bachelors,Humanities and liberal arts,15585,71000,0.1825045442,0.0137492475,Major: Humanities and liberal arts,Occ: Management
Bachelors,Humanities and liberal arts,11582,39000,0.1380346219,0.0103990407,Major: Humanities and liberal arts,Occ: Office and administrative support
Bachelors,Humanities and liberal arts,1131,33000,0.0143056685,0.0010777385,Major: Humanities and liberal arts,Occ: Personal care and service
Bachelors,Humanities and liberal arts,1528,41000,0.0183995282,0.0013861554,Major: Humanities and liberal arts,Occ: Production
Bachelors,Humanities and liberal arts,2124,63000,0.0256620745,0.00193329,Major: Humanities and liberal arts,Occ: Protective service
Bachelors,Humanities and liberal arts,10199,55000,0.1237124545,0.0093200592,Major: Humanities and liberal arts,Occ: Sales and related
Bachelors,Humanities and liberal arts,1517,43000,0.0189627355,0.0014285855,Major: Humanities and liberal arts,Occ: Transportation and material moving
Bachelors,"Industrial arts, consumer services, and recreation",586,72000,0.0202181318,0.0005398628,"Major: Industrial arts, consumer services, and recreation",Occ: Architecture and engineering
Bachelors,"Industrial arts, consumer services, and recreation",660,49000,0.0222856397,0.0005950692,"Major: Industrial arts, consumer services, and recreation","Occ: Arts, design, entertainment, sports, and media"
Bachelors,"Industrial arts, consumer services, and recreation",226,38000,0.0079669832,0.0002127337,"Major: Industrial arts, consumer services, and recreation",Occ: Building and grounds cleaning and maintenance
Bachelors,"Industrial arts, consumer services, and recreation",2116,58000,0.0692585091,0.0018493347,"Major: Industrial arts, consumer services, and recreation",Occ: Business and financial operations
Bachelors,"Industrial arts, consumer services, and recreation",1119,39000,0.0364282303,0.0009727034,"Major: Industrial arts, consumer services, and recreation",Occ: Community and social service
Bachelors,"Industrial arts, consumer services, and recreation",569,64000,0.0183789395,0.0004907528,"Major: Industrial arts, consumer services, and recreation",Occ: Computer and mathematical
